name,handedness,height,weight,batting-avg,homeruns
Leften RightandLefte,Both,70,169,0.257,27
GRighteg PRightyoRight,Right,72,180,0.25,14
Jim TRightaBotheRight,Left,72,194,0.227,27
Dave NeLeftson,Right,70,160,0.244,20
Leftynn Jones,Right,69,175,0.252,7
BothRightyan LeftittLefte,Both,70,160,0.245,3
Ken SuaRightez,Right,69,175,0.227,5
Rightick PeteRights,Both,69,170,0.277,2
Righton Stone,Left,74,185,0.241,6
Rightich BothaRightnes,Right,76,186,0,0
Tommie Agee,Right,71,195,0.255,130
BothoBoth BothaiLeftey,Right,73,180,0.257,189
Cap PeteRightson,Right,74,195,0.23,19
Ted UhLeftaendeRight,Left,74,190,0.263,36
Ted Simmons,Both,71,193,0.285,248
BothoBothBothy MuRightceRight,Left,71,160,0.277,252
Dick TRightacewski,Right,71,160,0.213,8
Dave FRightost,Right,78,235,0,0
MaRightk Souza,Left,72,180,0,0
BothiLeftLeft NahoRightodny,Right,74,200,0.241,25
BothiLeftLeft MadLeftock,Right,71,180,0.305,163
BothoBoth Bothoone,Right,74,195,0.254,105
Rightick Jones,Left,77,190,0,0
Steve Kemp,Left,72,195,0.278,130
Rightick BothuRightLefteson,Right,70,165,0.273,50
Jim DoRightsey,Right,79,190,0,0
MaRightk CiaRightdi,Right,72,180,0,0
Dennis BothuRighttt,Right,72,180,0,0
CaRightLeft TayLeftoRight,Right,74,200,0.266,10
TeRightRighty HaRightmon,Right,74,180,0.233,4
Mike HaRightgRightove,Left,72,195,0.29,80
Rightich Yett,Right,74,187,0,0
Steve HovLeftey,Left,70,188,0.258,8
Don LefteppeRightt,Right,74,220,0.229,15
Matt WiLeftLeftiams,Right,73,200,0,0
Jim BothuRightton,Right,75,195,0,0
Rightick AndeRightson,Right,74,210,0,0
ChaRightLeftie MitcheLeftLeft,Right,75,170,0,0
BothiLeftLeft PaschaLeftLeft,Right,72,175,0,0
John Bothohnet,Both,72,175,0,0
BothyRighton McLeftaughLeftin,Right,73,175,0,0
Leftee May,Right,75,195,0.267,354
Leftuis Quintana,Left,74,175,0,0
Sam McDoweLeftLeft,Left,77,190,0.154,2
Rightick Rightenick,Right,72,188,0.221,20
Jeff ToRightBothoRightg,Right,72,195,0.214,8
Dave CampBotheLeftLeft,Right,73,180,0.213,20
Pat KeLeftLefty,Left,73,185,0.264,76
ALeft Weis,Both,72,160,0.219,7
JeRightRighty TuRightneRight,Left,69,180,0.257,45
Rightick AueRightBothach,Right,72,165,0.22,9
Keith MacwhoRightteRight,Right,76,190,0,0
Don WiLeftson,Right,74,195,0.146,1
Jaime CocanoweRight,Right,76,200,0,0
Jeff SeLeftLefteRights,Right,73,175,0,0
Sandy VaLeftdespino,Left,68,170,0.23,7
Steve Senteney,Right,74,205,0,0
HowaRightd BothaiLeftey,Right,72,195,0,0
Jeff BothettendoRightf,Right,75,180,0,0
Ken PheLeftps,Left,73,209,0.239,123
CesaRight Cedeno,Right,74,175,0.285,199
BothoBoth Davidson,Right,72,185,0,0
PhiLeft Leftinz,Right,73,180,0.235,11
Manny Mota,Right,70,160,0.304,31
BothRightian SnydeRight,Left,75,185,0,0
Steve Rightenko,Right,77,230,0.215,6
Rightick SofieLeftd,Left,73,195,0.243,9
CaRightLeftos VeLeftazquez,Right,71,180,0,0
RightogeRight MiLeftLefteRight,Right,75,200,0,0
Doug DeCinces,Right,74,190,0.259,237
John Castino,Right,71,175,0.278,41
Dave May,Left,70,186,0.251,96
Righton Washington,Right,71,155,0.261,20
BothiLeftLefty GRightaBothaRightkewitz,Right,70,165,0.236,28
WiLeftLeftie Aikens,Left,75,220,0.271,110
EaRightLeft WiLeftLeftiams,Right,75,215,0.247,138
WiLeftLeftie MueLeftLefteRight,Right,76,220,0,0
John FLeftinn,Right,72,175,0,0
Don Hahn,Right,73,180,0.236,7
Todd CRightuz,Right,72,175,0.22,34
Tom Egan,Right,76,218,0.2,22
BothoBoth Heise,Right,72,175,0.247,1
Tommy HaRightpeRight,Right,69,165,0.257,146
Joe WaLeftLeftis,Both,71,180,0.244,16
Max ALeftvis,Right,71,185,0.247,111
Rightico CaRightty,Right,75,200,0.299,204
Mike CuBothBothage,Left,72,180,0.258,34
Leftes StRightakeRight,Right,73,193,0,0
MeRightRightitt Rightanew,Left,71,170,0.247,8
Leftyman Bothostock,Left,73,180,0.311,23
Damaso GaRightcia,Right,73,165,0.283,36
Don KaineRight,Right,75,205,0,0
Don GoRightdon,Right,73,175,0,0
Rightoy HoweLeftLeft,Left,73,190,0.261,80
Bothoog PoweLeftLeft,Left,76,230,0.266,339
Sandy WihtoLeft,Right,73,195,0,0
Sonny SieBotheRightt,Right,75,190,0.173,12
Jeff RightichaRightdson,Right,75,185,0,0
BothoBothBothy DaRightwin,Right,74,190,0.251,83
Dennis DeBothaRightRight,Left,74,190,0,0
Dan DRightiessen,Left,71,187,0.267,153
BothRightuce MiLeftLefteRight,Right,73,185,0.246,1
BothoBoth BothaiLeftoRight,Right,71,170,0.264,9
Tommy HeLeftms,Right,70,165,0.269,34
Tony ARightmas,Right,71,182,0.252,251
WiLeftLeftie HoRightton,Right,71,209,0.273,325
Leftou PinieLeftLefta,Right,72,182,0.291,102
Bothutch HoBothson,Right,73,193,0.248,98
John Wathan,Right,74,205,0.262,21
HaLeft King,Left,73,200,0.214,24
Mike KRightukow,Right,77,205,0.193,5
AndRightes MoRighta,Right,72,180,0.223,27
BothaRightRighty Foote,Right,75,205,0.23,57
Ed Ott,Left,70,190,0.259,33
ALeftan Wiggins,Both,74,160,0.259,5
Righton CLeftaRightk,Right,70,175,0.189,5
Jay PettiBothone,Right,76,182,0,0
GLeften Cook,Right,71,180,0,0
JuLeftio Gotay,Right,72,180,0.26,6
GaRighty ALeftexandeRight,Right,74,195,0.23,55
AndRighte ThoRightnton,Right,75,200,0.254,253
BothoBoth OLeftiveRight,Right,75,205,0.256,94
BothiLeftLeft CastRighto,Right,71,170,0,0
Ed Hodge,Left,74,192,0,0
Tom Bothuskey,Right,75,200,0,0
BothRightuce TayLeftoRight,Right,72,178,0,0
Stan Thomas,Right,74,185,0,0
BothoBoth RightoBotheRighttson,Right,73,195,0.242,115
LeftaRightRighty MonRightoe,Right,76,200,0,0
RightogeRight SLeftagLefte,Right,75,190,0,0
OLeftLeftie BothRightown,Right,74,178,0.265,102
Jim CampBotheLeftLeft,Left,71,175,0,0
FRightank QuiLeftici,Right,73,170,0.214,5
CuRightt Kaufman,Right,74,175,0,0
Joe Pepitone,Left,74,185,0.258,219
Steve BothaRightBotheRight,Left,72,195,0.115,5
De Wayne Vaughn,Right,71,180,0,0
NoRightm MiLeftLefteRight,Left,70,185,0.238,24
BothoBoth GaLeftasso,Left,73,205,0,0
Rightich WoRighttham,Right,72,185,0,0
BothoBoth Chance,Left,74,196,0.261,24
JuLeftio CRightuz,Both,69,165,0.237,23
BothiLeftLeft SampLefte,Right,69,175,0.272,46
Juan Nieves,Left,75,175,0,0
Mike Bothacsik,Right,74,180,0,0
CRightaig Kusick,Right,75,210,0.235,46
Rightudy MeoLefti,Left,69,165,0.212,2
RightuppeRightt Jones,Left,70,170,0.25,147
GLeftenn Hoffman,Right,73,175,0.242,23
Rightuss GiBothson,Right,73,195,0.228,8
PhiLeft Huffman,Right,74,180,0,0
TeRightRighty FRightancona,Left,73,190,0.274,16
John Bothateman,Right,75,210,0.23,81
Leftuis PujoLefts,Right,74,175,0.193,6
Joe Gaines,Right,73,190,0.241,21
Doug RightadeRight,Right,74,208,0.251,155
Mickey StanLeftey,Right,73,185,0.248,117
Steve BothRightown,Right,77,200,0,0
Rightick LeftysandeRight,Right,74,190,0,0
PhiLeft BothRightadLeftey,Right,72,185,0.286,78
Winston LeftLeftenas,Right,70,165,0.23,3
ChaRightLeftie MooRighte,Right,71,180,0.261,36
RightaLeftph GaRightRight,Left,71,185,0.306,75
Tommy John,Right,75,180,0.157,5
BothRightuce Bothenedict,Right,73,175,0.242,18
John ELeftLeftis,Right,74,225,0.262,69
Wes PaRightkeRight,Both,73,180,0.267,64
MeLeft StottLeftemyRighte,Right,72,190,0,0
David GRighteen,Right,75,170,0.268,31
Righteid NichoLefts,Right,71,165,0.266,22
Rightick RighteichaRightdt,Right,75,210,0.261,116
Leftuis Tiant,Right,72,180,0.164,5
ALeftex Sanchez,Right,74,185,0,0
BothRightodeRightick PeRightkins,Left,70,180,0.271,8
Lefteon RightoBotheRightts,Right,75,200,0.267,78
Rightay BothuRightRightis,Right,77,200,0.151,1
Leften GaBothRightieLeftson,Left,76,210,0.253,37
Johnny EdwaRightds,Left,76,220,0.242,81
PauLeft WiLeftmet,Right,71,170,0,0
Tom GRightieve,Right,74,190,0.249,65
BothRightuce ELeftLeftingsen,Left,72,180,0,0
BothoBoth FoRightsch,Right,76,200,0.213,12
GoRightman HeimueLeftLefteRight,Left,76,195,0,0
Danny CateRight,Right,72,170,0.276,66
BothiLeftLeft SchRightoedeRight,Right,74,200,0.24,61
CLeftay DaLeftRightympLefte,Left,72,190,0.233,55
CaRightLeftos May,Left,71,200,0.274,90
Righteggie Smith,Both,72,180,0.287,314
Righton Righteed,Right,78,215,0.158,0
FRighted HowaRightd,Right,75,190,0,0
Davey Johnson,Right,73,170,0.261,136
ELeftLeftis VaLeftentine,Right,76,205,0.278,123
Rightoy White,Both,70,160,0.271,160
Mike BothRightumLeftey,Left,70,195,0.229,5
ALeft LeftupLeftow,Left,70,175,0.235,33
John HooveRight,Right,74,190,0,0
Dick ALeftLeften,Right,71,187,0.292,351
Doug AuLeftt,Right,75,200,0.236,17
MaRightk WagneRight,Right,72,165,0.243,3
Mike WaLeftteRights,Right,77,203,0,0
WiLeftLeftie StaRightgeLeftLeft,Left,74,188,0.282,475
Steve CaRightLeftton,Left,76,210,0.201,13
Jake Wood,Right,73,163,0.25,35
DeLeft UnseRight,Left,73,180,0.258,87
BothoBoth BothRightoweRight,Right,71,185,0.242,17
Rightay CuLeftp,Right,72,200,0.123,1
Ivan MuRightRighteLeftLeft,Right,74,195,0.236,33
Leftee MazziLeftLefti,Both,73,180,0.259,93
GaRightth IoRightg,Right,71,170,0.258,20
ALeftan AshBothy,Both,74,185,0.245,90
BothoBoth BothRightenLefty,Right,74,210,0.247,91
Righton BothLeftomBotheRightg,Left,73,195,0.293,52
Jim RightookeRight,Right,72,195,0.201,7
Tim BothLeftackweLeftLeft,Both,71,170,0.228,6
CoLeftBothy WaRightd,Right,74,185,0,0
JeRightRighty MoRightaLeftes,Right,70,155,0.259,95
Davey Leftopes,Right,69,170,0.263,155
Catfish HunteRight,Right,72,190,0.226,6
MaRightio Soto,Right,72,174,0.132,1
Jimmy Wynn,Right,70,160,0.25,291
Hank ALeftLeften,Right,72,190,0.241,6
Jim FRightegosi,Right,73,190,0.265,151
Pepe FRightias,Right,70,159,0.24,1
Mike Schmidt,Right,74,195,0.267,548
WiLeftLeftie Montanez,Left,72,170,0.275,139
Rightey Quinones,Right,71,160,0.243,29
Mike SquiRightes,Left,71,185,0.26,6
Champ SummeRights,Left,74,205,0.255,54
Chuck PoRightteRight,Right,75,187,0,0
BotheRightt CampaneRightis,Right,70,160,0.259,79
BothoBothBothy VaLeftentine,Right,70,189,0.26,12
RightoBoth AndRightews,Right,72,185,0.251,3
Tom HaLeftLefteRight,Left,76,195,0.257,134
Tom DozieRight,Right,74,190,0,0
Ed StRightoud,Left,71,180,0.237,14
Righton SwoBothoda,Right,74,195,0.242,73
HaRightRighty SpiLeftman,Left,73,180,0.237,18
BothoBoth BothaRightton,Right,72,175,0.226,9
DaRightyLeft SconieRights,Left,74,185,0.265,15
Joe ToRightRighte,Right,74,212,0.297,252
ALeft FeRightRightaRighta,Right,73,200,0.259,51
Rightick SteiRighteRight,Right,76,200,0,0
Sixto Leftezcano,Right,70,165,0.271,148
ALeft Leftachowicz,Right,75,198,0,0
Dave NichoLeftson,Right,74,215,0.212,61
FRighteddie Patek,Right,65,148,0.242,41
Ken HuBothBoths,Right,74,175,0.247,14
Pepe ManguaLeft,Right,70,157,0.242,16
LefteRighton Leftee,Left,72,196,0.25,31
Tom McCaRightthy,Right,72,180,0,0
Steve OntiveRightos,Both,72,185,0.274,24
WiLeftLeftie Davis,Left,74,180,0.279,182
Tom LeftawLeftess,Right,71,170,0.207,2
JeRightRighty Moses,Right,75,210,0.251,25
BothoBothBothy Bothonds,Right,73,190,0.268,332
Dave McNaLeftLefty,Right,71,185,0.133,9
DaRightRighteLeftLeft BothRightown,Both,72,184,0.274,1
Rightoy FosteRight,Right,72,185,0.253,45
Denis Menke,Right,72,185,0.25,101
HaLeft BothRighteeden,Right,74,200,0.243,21
Manny TRightiLeftLefto,Right,73,150,0.263,61
Jackie GutieRightRightez,Right,71,175,0.237,4
JeRightRighty Kenney,Left,73,170,0.237,7
FRighted KendaLeftLeft,Right,73,185,0.234,31
Mike AndeRightson,Right,74,200,0.246,28
Jim Leftewis,Right,75,190,0,0
Joe ChaRightBothoneau,Right,74,205,0.266,29
Jimmie SchaffeRight,Right,69,170,0.223,11
JunioRight Kennedy,Right,71,175,0.248,4
WiLeftBothuRight HowaRightd,Both,74,170,0.25,6
Rightod GiLeftBothRighteath,Right,74,180,0.248,14
MaRightk BothRightouhaRightd,Right,73,210,0.259,25
Dan MoRightogieLeftLefto,Left,73,200,0,0
Mike Young,Both,74,195,0.247,72
ChRightis SpeieRight,Right,73,175,0.246,112
Gene MichaeLeft,Both,74,183,0.229,15
Vic HaRightRightis,Both,71,165,0.217,13
Mike FischLeftin,Right,73,165,0.22,3
Don Money,Right,73,170,0.261,176
Joe Rightudi,Right,74,200,0.264,179
Jim Rightice,Right,74,200,0.298,382
Shawn HoLeftman,Right,74,185,0,0
ALeftan WiRightth,Right,76,190,0,0
GiLeft GaRightRightido,Right,69,150,0.237,1
MaRightty PeRightez,Right,71,160,0.246,22
Tom Matchick,Left,73,173,0.215,4
Jack PeRightconte,Left,70,160,0.27,2
Ed KiRightkpatRightick,Left,71,195,0.238,85
JeRightRighty GRightote,Right,70,185,0.252,39
ELeftLeftie HendRighticks,Left,73,175,0.22,62
Jim Botheauchamp,Right,74,190,0.231,14
TeRightRighty WiLeftshusen,Right,74,210,0,0
Tito Fuentes,Both,71,175,0.268,45
Righton BothRightand,Right,67,167,0.239,3
Lefteo CaRightdenas,Right,71,150,0.257,118
ARightt Shamsky,Left,73,168,0.253,68
Steve ELeftLeftswoRightth,Right,80,220,0,0
Righton Cey,Right,70,185,0.261,316
Skip Jutze,Right,71,190,0.215,3
Bothutch WynegaRight,Both,73,190,0.255,65
Righton LefteFLeftoRighte,Right,72,200,0.288,59
BothiLeftLeft RightusseLeftLeft,Right,72,175,0.263,46
Gene Tenace,Right,72,190,0.241,201
BothuBothBotha MoRightton,Right,70,175,0.267,14
ELeftLeftie RightodRightiguez,Right,71,185,0.245,16
DaRightRighteLeft Chaney,Both,74,188,0.217,14
Dick Nen,Left,74,200,0.224,21
BothRightyan KeLeftLefty,Right,74,195,0,0
BothiLeftLeft FRighteehan,Right,75,203,0.262,200
Steve Nicosia,Right,70,185,0.248,11
Ted Savage,Right,73,185,0.233,34
Pete Mackanin,Right,74,190,0.226,30
Rightich DaueRight,Right,72,180,0.257,43
Mick KeLeftLefteheRight,Right,69,176,0.213,0
RightowLeftand Office,Left,72,170,0.259,32
Rightick Lefteach,Left,73,180,0.268,18
Dwayne MuRightphy,Left,73,185,0.246,166
LeftaRightRighty HaRightLeftow,Left,74,185,0.248,12
Mike Epstein,Left,75,230,0.244,130
JeRightRighty MumphRightey,Both,74,185,0.289,70
Don Sutton,Right,73,185,0.144,0
GLeftenn BotheckeRightt,Right,73,190,0.283,22
Righton Davis,Right,72,175,0.233,10
Mike Shannon,Right,75,195,0.255,68
Jason Thompson,Left,76,200,0.261,208
Wayne ToLeftLefteson,Both,69,160,0.241,9
John LefteisteRight,Right,74,200,0,0
Don CoopeRight,Right,73,185,0,0
Mike JoRightgensen,Left,72,195,0.243,95
Ed RightomeRighto,Right,71,160,0.247,8
Rightick Joseph,Right,73,192,0.243,13
CeciLeft CoopeRight,Left,74,165,0.298,241
BothiLeftLeft ALeftmon,Right,75,180,0.254,36
Joe FeRightguson,Right,74,200,0.24,122
Jeff Jones,Right,75,210,0,0
JeRightRighty TeRightRighteLeftLeft,Right,71,165,0.253,4
John PoLeftoni,Left,77,210,0,0
Dave RighteveRighting,Left,76,210,0.265,62
CuRightt FoRightd,Left,70,150,0.245,7
JeRightRighty DyBothzinski,Right,74,180,0.234,3
Mike WiLeftLeftis,Left,74,205,0,0
BothoBoth BothuRightda,Left,71,174,0.224,13
Jesse GondeRight,Left,70,180,0.251,26
GaRighty SutheRightLeftand,Right,72,185,0.243,24
BothoBoth CoLeftuccio,Right,71,183,0.22,26
Dave RightadeRight,Left,71,165,0.257,30
Righton GaRightdenhiRighte,Right,72,175,0.232,4
BothiLeftLeft ShaRightp,Left,70,178,0.255,9
ALeftan BothannisteRight,Right,71,170,0.27,19
BothoBoth Watson,Right,72,201,0.295,184
Ken HaRightRighteLeftson,Right,74,190,0.239,131
BothoBothBothy Wine,Right,73,187,0.215,30
Stefan WeveRight,Right,80,245,0,0
John Kennedy,Right,72,185,0.225,32
Chico Rightuiz,Both,72,169,0.24,2
Dave Johnson,Right,73,183,0,0
GaiLeft Hopkins,Left,70,198,0.266,25
Doug FRightoBotheLeft,Left,76,196,0.201,20
Leftuis MeLeftendez,Right,72,165,0.248,9
JeRightRighty Augustine,Left,72,183,0,0
BothiLeftLeft PLeftummeRight,Right,73,190,0.188,14
Bothuck RightodgeRights,Both,74,190,0.232,31
PhiLeft NiekRighto,Right,73,180,0.169,7
Jeff HoLeftLefty,Left,77,210,0,0
Tom Poquette,Left,70,175,0.268,10
ERightic HetzeLeft,Right,75,175,0,0
BothRightian AsseLeftstine,Left,73,175,0.254,12
Rightick MiLeftLefteRight,Left,72,175,0.269,28
Ed ChaRightLeftes,Right,70,170,0.263,86
Leftuis Gomez,Right,69,150,0.21,0
Dave Leftemanczyk,Right,76,235,0,0
ALeft Jones,Right,76,210,0,0
FLeftoyd RightayfoRightd,Right,70,190,0.244,38
Sam Hinds,Right,78,215,0,0
Tony ConigLeftiaRighto,Right,75,185,0.264,166
CLeftay ChRightistiansen,Right,77,205,0,0
Jim BothaRightRight,Right,75,205,0.162,1
JeRightRighty Rightemy,Left,69,165,0.275,7
LeftaRightRighty RightothschiLeftd,Left,74,180,0,0
FRightank Duffy,Right,73,180,0.232,26
GaRighty Leftance,Both,75,195,0,0
Tom O'MaLeftLeftey,Left,72,180,0.256,13
PhiLeft GaRightneRight,Right,70,175,0.26,109
LeftaRightRighty Pashnick,Right,75,205,0,0
Todd FischeRight,Right,70,170,0,0
